,7_corr,7_pval,7_qval,7_ci_low,7_ci_high,2_corr,2_pval,2_qval,2_ci_low,2_ci_high,0_corr,0_pval,0_qval,0_ci_low,0_ci_high,3_corr,3_pval,3_qval,3_ci_low,3_ci_high
PCOLCE2,0.3118656441685617,2.4177043448876314e-144,6.199241909968286e-143,0.2893841093406328,0.3340033102384283,0.2876609401266648,7.695159374466644e-122,4.566860162888216e-121,0.26483178018312414,0.3101678241082429,-0.36817420259530276,4.432699220679237e-206,3.993422721332646e-205,-0.3893436102488971,-0.346616049912789,-0.23434114193674635,5.9440498426040826e-80,5.660999850099126e-79,-0.25756135379107076,-0.21085042812434718
TRIML2,0.3107266706188422,3.1191392734664977e-143,7.797848183666244e-142,0.2882281143584425,0.3328823449949481,0.01463902060629526,0.24567767267798768,0.2830387934078199,-0.010076368649283463,0.03933653446100431,-0.13600393390129378,1.9524813323891513e-27,4.149800918999259e-27,-0.1601773388504533,-0.1116674924807723,-0.1089291697387681,4.240148328314847e-18,1.1428971235349992e-17,-0.13328214097608743,-0.08444473652251962
TTYH1,0.3094690730991465,5.179603112700864e-142,1.278914348815028e-140,0.2869517988008276,0.33164455859925457,0.4916687488338107,0.0,0.0,0.47270030988247363,0.5101817881136539,-0.5428664752542559,0.0,0.0,-0.5600648500065671,-0.5252003875531248,-0.32444838421229266,5.7975774940856205e-157,2.187765092107781e-155,-0.3463829388400774,-0.30215925802293564
CDH3,0.30473209189423134,1.794957069196002e-137,4.377944071209761e-136,0.2821450300995339,0.32698151427262584,0.30219182342607875,4.4871911951919425e-135,3.052511017137376e-134,0.2795678042120149,0.32448044906598617,-0.3736509015092051,7.67705717539169e-213,7.346466196547072e-212,-0.39471799117480766,-0.3521911373554718,-0.24272169606330365,7.17929625572638e-86,7.401336346109669e-85,-0.26583891798564613,-0.21932548300273919
SET,0.29847740053676275,1.2962401936993358e-131,2.9460004402257636e-130,0.27579992836625633,0.3208227887206535,0.573233032767604,0.0,0.0,0.5564030652803083,0.5895928474745571,-0.6354892587095278,0.0,0.0,-0.6499934741149045,-0.6205222254020609,-0.33004492340437586,8.711058073468231e-163,3.7068332227524385e-161,-0.3518866847145972,-0.30784395018203153
SBF2-AS1,0.2983173229468684,1.8222955434761326e-131,4.095046165114905e-130,0.27563756281869733,0.3206651423998314,-0.03447482869023649,0.006241227122199054,0.008371867367134881,-0.05913619267918803,-0.009771409206122498,-0.0878493955728393,2.8650484226460723e-12,4.97836389686546e-12,-0.11231730867578672,-0.06327501597894683,-0.08390994575600735,2.5670794170246294e-11,5.762243360324645e-11,-0.1083969221857828,-0.059321207833772406
PTMA,0.2975705143308513,8.901316444400474e-131,1.978070320977883e-129,0.274880097314786,0.319929660000679,0.35036582942275635,4.6945244859082905e-185,4.428796684819142e-184,0.32849827290544203,0.3718579711381151,-0.46218206340715606,0.0,0.0,-0.4813956315815808,-0.4425245358201684,-0.21125796591682686,7.138211093649346e-65,5.210373061057916e-64,-0.23474421542030527,-0.18752520708780843
OLFML3,0.28973454331018406,1.1150327122689844e-123,2.3229848172270507e-122,0.2669340055795762,0.31221090541590624,0.3817842754178199,3.794433993310821e-223,4.7728729475607814e-222,0.36047343793237074,0.4026967546862097,-0.4782957400908942,0.0,0.0,-0.4971316260117953,-0.4590092661014053,-0.23060366008538694,2.1691627370949427e-77,2.017825801948784e-76,-0.2538687032350394,-0.2070719400291066
TPM1,0.2887625881709329,8.152315852603383e-123,1.663737929102731e-121,0.2659486073996382,0.31125328260965074,0.1989311923974615,1.554228960601957e-57,4.934060192387165e-57,0.17508013117076332,0.22254890015990048,-0.2703138228182297,4.349254819999409e-107,1.8706472344083478e-106,-0.2930678950354116,-0.24725371527007678,-0.1996495713400307,5.987735098420793e-58,3.7306760737824257e-57,-0.2232598208643982,-0.17580519544697779
RHBDL3,0.28177661558732336,1.0376156947906126e-116,1.9038820087901147e-115,0.2588674149275011,0.30436898013009767,0.2593867091646427,2.314685858870157e-98,1.1402393393449049e-97,0.2361889119207962,0.2822890094865739,-0.3327883556169732,1.09006100450477e-165,7.59624393383115e-165,-0.35458407800048936,-0.3106311741925563,-0.2109080025051871,1.1713524246613543e-64,8.488061048270683e-64,-0.23439808611795585,-0.18717177989067063
